array_path,enum_table,value,occurrence_count
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Chlorine Dioxide,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Dry Heat Sterilization,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Ethylene Oxide,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,High-level Disinfectant,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Hydrogen Peroxide,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Liquid Chemical,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Microwave Radiation,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Moist Heat or Steam Sterilization,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Ozone,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Peracetic Acid,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Radiation Sterilization,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Sound Waves,-
udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods,Ultraviolet Light,-
